NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,,single_combination,Dose_finding,Design,other_design,more_than_one_drug,n_finding,dose_level,comment_finding,Dose_expansion,n_expansion,toxicity_stopping_rule,comment_expansion,phase2,n_phase2,comment_phase2,,,,,
NCT04075396,A Study of Lazertinib in Participants With Epidermal Growth Factor Receptor (EGFR) Mutation Positive Advanced Non-Small Cell Lung Cancer (NSCLC),https://clinicaltrials.gov/study/NCT04075396,COMPLETED,"Carcinoma, Non-Small-Cell Lung",DRUG: Lazertinib,"Janssen Research & Development, LLC",Yuhan Corporation,INTERVENTIONAL,,Single ,Yes,Other,Sequential Assignment,No,29,5,,Yes,29,,,Yes,29,Same as dose-expansion,,,,,
NCT03323658,Bexarotene in Preventing Breast Cancer in Patients at High Risk for Breast Cancer,https://clinicaltrials.gov/study/NCT03323658,COMPLETED,Breast Atypical Ductal Hyperplasia|Breast Atypical Lobular Hyperplasia|Breast Ductal Carcinoma In Situ|Breast Lobular Carcinoma In Situ|Invasive Breast Carcinoma,DRUG: Bexarotene|OTHER: Questionnaire Administration,National Cancer Institute (NCI),,INTERVENTIONAL,,Single ,Yes,Other,Sequential Assignment,No,24,3,,No,,,,No,,,,,,,
NCT04179396,Study of Oral Rucaparib With Other Anticancer Agents in Metastatic Castration Resistant Prostate Cancer Patients (RAMP),https://clinicaltrials.gov/study/NCT04179396,COMPLETED,Metastatic Castration Resistant Prostate Cancer,DRUG: Rucaparib|DRUG: Enzalutamide|DRUG: Abiraterone,pharmaand GmbH,,INTERVENTIONAL,,Combination,No,,,,,,,Yes,26,No,,No,,,,,,,
NCT03384316,Multi-Targeted Recombinant Ad5 (CEA/MUC1/Brachyury) Based Immunotherapy Vaccine Regimen in People With Advanced Cancer,https://clinicaltrials.gov/study/NCT03384316,COMPLETED,Neoplasms|Prostate Cancer|Lung Cancer|Breast Cancer|Colon Cancer,BIOLOGICAL: ETBX-051; adenoviral brachyury vaccine|BIOLOGICAL: ETBX-061; adenoviral Mucin-1 (MUC1) vaccine|BIOLOGICAL: ETBX-011; adenoviral Carcinoembryonic antigen (CEA) vaccine,National Cancer Institute (NCI),,INTERVENTIONAL,,Combination,Yes,Other,Sequential Assignment,Yes,11,2,,No,,,,No,,,,,,,
NCT03443635,Cooking for Health Optimization With Patients,https://clinicaltrials.gov/study/NCT03443635,COMPLETED,Cardiovascular Diseases|Cardiovascular Risk Factor|Nutrition Disorders|Diabetes|Hypertension|Cancer|Depression|Obesity|Physical Activity,BEHAVIORAL: Treatment,Tulane University,,INTERVENTIONAL,,None,No,,,,,2,,No,,,,No,,,,,,,
NCT04614363,68 Ga-PSMA for High Risk Prostate Cancer,https://clinicaltrials.gov/study/NCT04614363,COMPLETED,Prostate Cancer|High Risk,DRUG: 68Ga-PSMA,The Methodist Hospital Research Institute,,INTERVENTIONAL,,Single ,No,,,,,,,No,,,,No,,,,,,,
NCT05093322,"A Study of Surufatinib in Combination With Gemcitabine in Pediatric, Adolescent, and Young Adult Patients With Recurrent or Refractory Solid Tumors",https://clinicaltrials.gov/study/NCT05093322,COMPLETED,Solid Tumor|Lymphoma|Osteosarcoma|Ewing Sarcoma|Rhabdomyosarcoma|Non-rhabdomyosarcoma Soft Tissue Sarcoma (NRSTS),DRUG: Surufatinib in combination with Gemcitabine,Hutchmed,,INTERVENTIONAL,,Combination,Yes,Other,Sequential Assignment,No,13,4,,Yes,13,,,Yes,13,Same as dose-expansion,,,,,
NCT03101358,Study of Topical SOR007 Ointment for Cutaneous Metastases,https://clinicaltrials.gov/study/NCT03101358,COMPLETED,Cutaneous Metastasis,DRUG: SOR007 (Uncoated Nanoparticle Paclitaxel) Ointment,"NanOlogy, LLC","US Biotest, Inc.",INTERVENTIONAL,,Single ,Yes,3+3 and other,Sequential Assignment,No,23,3,,Yes,23,Yes,,Yes,,Same as dose-expansion,,,,,
NCT03905135,Interleukin-15 (IL-5) in Combination With Avelumab (Bavencio) in Relapsed/Refractory Mature T-cell Malignancies,https://clinicaltrials.gov/study/NCT03905135,COMPLETED,Peripheral T-cell Lymphoma NOS|Mycosis Fungoides|Sezary Syndrome|Anaplastic Large Cell Lymphoma,DRUG: rhIL-15|DRUG: rhIL-15|BIOLOGICAL: Avelumab,National Cancer Institute (NCI),,INTERVENTIONAL,,Combination,Yes,3+3 and other,Sequential Assignment,No,8,4,,Yes,8,No,,No,,,,,,,
NCT04052334,Lymphodepletion Plus Adoptive Cell Therapy With High Dose IL-2 in Adolescent and Young Adult Patients With Soft Tissue Sarcoma,https://clinicaltrials.gov/study/NCT04052334,COMPLETED,Sarcoma,DRUG: TIL|DRUG: Interleukin-2|DRUG: Fludarabine|DRUG: Cyclophosphamide,H. Lee Moffitt Cancer Center and Research Institute,"Iovance Biotherapeutics, Inc.|The V Foundation for Cancer Research|National Cancer Institute (NCI)",INTERVENTIONAL,,,,,,,,,,,,,,,,,,,,,
NCT03949517,68-Ga PSMA 11 PET/MRI and 68-Ga RM2 PET/MRI for Evaluation of Prostate Cancer Response to HIFU Therapy,https://clinicaltrials.gov/study/NCT03949517,COMPLETED,Prostate Cancer,DRUG: 68-Ga RM2|DRUG: 68-Ga PSMA11|DEVICE: Investigational software and coils in PET/MR Scan|PROCEDURE: PET/MRI,Andrei Iagaru,General Electric,INTERVENTIONAL,,Combination,,,,,,,,,,,,,,,,,,,
NCT04079296,"A Study Investigating the Safety, Tolerability and Efficacy of ASP7517 in Subjects With Relapsed/Refractory Acute Myeloid Leukemia (AML) and Relapsed/Refractory Higher Risk Myelodysplastic Syndrome (MDS)",https://clinicaltrials.gov/study/NCT04079296,COMPLETED,Acute Myeloid Leukemia (AML)|Myelodysplastic Syndrome,BIOLOGICAL: ASP7517,"Astellas Pharma Global Development, Inc.",,INTERVENTIONAL,,Single ,Yes,Other,Sequential Assignment,No,43,3,,Yes,43,No,,Yes,43,Same as dose-expansion,,,,,
NCT03568539,IBI308 in Subjects With Advanced/Metastatic Solid Malignancies,https://clinicaltrials.gov/study/NCT03568539,COMPLETED,Advanced/Metastatic Solid Malignancies,DRUG: IBI308,Innovent Biologics (Suzhou) Co. Ltd.,,INTERVENTIONAL,,Single ,No,,,,,,,Yes,39,No,,No,,,,,,,
NCT03565367,Hyperpolarized Carbon C 13 Pyruvate Magnetic Resonance Spectroscopic Imaging in Detecting Lactate and Bicarbonate in Participants With Central Nervous System Tumors,https://clinicaltrials.gov/study/NCT03565367,COMPLETED,Malignant Central Nervous System Neoplasm|Metastatic Malignant Neoplasm in the Central Nervous System,OTHER: Gadolinium|DRUG: Hyperpolarized Carbon C 13 Pyruvate|PROCEDURE: Magnetic Resonance Imaging|PROCEDURE: Magnetic Resonance Spectroscopic Imaging,Daniel M. Spielman,National Institutes of Health (NIH)|National Cancer Institute (NCI),INTERVENTIONAL,,,,,,,,,,,,,,,,,,,,,
NCT03907969,A Clinical Trial to Evaluate AZD7648 Alone and in Combination With Other Anti-cancer Agents in Patients With Advanced Cancers.,https://clinicaltrials.gov/study/NCT03907969,COMPLETED,Advanced Malignancies,DRUG: AZD7648|DRUG: PLD,AstraZeneca,Parexel,INTERVENTIONAL,,Both,Yes,Other,Sequential Assignment,,,,,,,,,,,,,,,,
NCT03704467,Phase Ib/II Study of Carboplatin + M6620 + Avelumab in PARPi-resistant Ovarian Cancer,https://clinicaltrials.gov/study/NCT03704467,COMPLETED,Ovarian Cancer,DRUG: M6620|DRUG: Avelumab|DRUG: Carboplatin,"EMD Serono Research & Development Institute, Inc.","Merck KGaA, Darmstadt, Germany",INTERVENTIONAL,,Combination,,,,,,3,,,,,,Yes,,not conducted,,,,,
NCT03194867,Isatuximab in Combination With Cemiplimab in Relapsed/Refractory Multiple Myeloma (RRMM) Patients,https://clinicaltrials.gov/study/NCT03194867,COMPLETED,Plasma Cell Myeloma,DRUG: Isatuximab SAR650984|DRUG: Cemiplimab REGN2810,Sanofi,,INTERVENTIONAL,,Combination,,,,,,,,Yes,,,,,,,,,,,
NCT03256344,Study of Talimogene Laherparepvec With Atezolizumab for Triple Negative Breast Cancer and Colorectal Cancer With Liver Metastases,https://clinicaltrials.gov/study/NCT03256344,COMPLETED,Metastatic Triple Negative Breast Cancer|Metastatic Colorectal Cancer,BIOLOGICAL: Talimogene Laherparepvec|BIOLOGICAL: Atezolizumab,Amgen,Roche-Genentech,INTERVENTIONAL,,Combination,,,,,,,,,,,,,,,,,,,
NCT03770689,Study of Peposertib in Combination With Capecitabine and RT in Rectal Cancer,https://clinicaltrials.gov/study/NCT03770689,COMPLETED,Locally Advanced Rectal Cancer,DRUG: Peposertib 50 mg|DRUG: Peposertib 100 mg|DRUG: Peposertib 150 mg|DRUG: Peposertib 250 mg|DRUG: Capecitabine|RADIATION: Radiotherapy (RT),"EMD Serono Research & Development Institute, Inc.","Merck KGaA, Darmstadt, Germany",INTERVENTIONAL,,Combination,Yes,,,No,19,4,,Yes,19,,,Yes,19,total enrollment N=19,,,,,
NCT04630769,FT516 and IL2 With Enoblituzumab for Ovarian Cancer,https://clinicaltrials.gov/study/NCT04630769,COMPLETED,Ovarian Cancer|Fallopian Tube Adenocarcinoma|Primary Peritoneal Cavity Cancer,DRUG: IP FT516|DRUG: Enoblituzumab|DRUG: IL-2,"Masonic Cancer Center, University of Minnesota",National Cancer Institute (NCI),INTERVENTIONAL,,Combination,,,,,,,,,,,,,,,,,,,
NCT03615404,"Cytomegalovirus (CMV) RNA-Pulsed Dendritic Cells for Pediatric Patients and Young Adults With WHO Grade IV Glioma, Recurrent Malignant Glioma, or Recurrent Medulloblastoma",https://clinicaltrials.gov/study/NCT03615404,COMPLETED,"Glioblastoma|Malignant Glioma|Medulloblastoma Recurrent|Pediatric Glioblastoma Multiforme|Pediatric Brain Tumor, Recurrent|Pediatric Brain Tumor",BIOLOGICAL: CMV-DCs with GM-CSF|BIOLOGICAL: Td (tetanus toxoid),Gary Archer Ph.D.,,INTERVENTIONAL,,,,,,,,,,,,,,,,,,,,,
NCT03693612,GSK3359609 Plus Tremelimumab for the Treatment of Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT03693612,COMPLETED,Neoplasms,DRUG: feladilimab|DRUG: Tremelimumab|DRUG: Docetaxel|DRUG: Paclitaxel|DRUG: Cetuximab,GlaxoSmithKline,MedImmune LLC,INTERVENTIONAL,,Combination,Yes,Other,Parallel Assignment,,,,,,,,,,,,,,,,
NCT03918499,"IRX-2, Cyclophosphamide, and Pembrolizumab in Treating Participants With Recurrent or Metastatic Gastric or Gastroesophageal Junction Cancer",https://clinicaltrials.gov/study/NCT03918499,COMPLETED,Clinical Stage IV Gastric Cancer AJCC v8|Clinical Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8|Clinical Stage IVA Gastric Cancer AJCC v8|Clinical Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8|Clinical Stage IVB Gastric Cancer AJCC v8|Clinical Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8|Metastatic Gastric Adenocarcinoma|Metastatic Gastroesophageal Junction Adenocarcinoma|Pathologic Stage IV Gastric Cancer AJCC v8|Pathologic Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8|Pathologic Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8|Pathologic Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8|Postneoadjuvant Therapy Stage IV Gastric Cancer AJCC v8|Postneoadjuvant Therapy Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8|Postneoadjuvant Therapy Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8|Postneoadjuvant Therapy Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8|Recurrent Gastric Adenocarcinoma|Recurrent Gastroesophageal Junction Adenocarcinoma,DRUG: Cyclophosphamide|BIOLOGICAL: Cytokine-based Biologic Agent IRX-2|BIOLOGICAL: Pembrolizumab,City of Hope Medical Center,National Cancer Institute (NCI),INTERVENTIONAL,,Combination,,,,,,,,,,,,,,,,,,,
NCT03531918,"Gemtuzumab Ozogamicin With G-CSF, Cladribine, Cytarabine & Mitoxantrone for Untreated AML & High-Grade Myeloid Neoplasm",https://clinicaltrials.gov/study/NCT03531918,COMPLETED,Acute Myeloid Leukemia,DRUG: Cladribine|DRUG: Cytarabine|DRUG: Gemtuzumab Ozogamicin|BIOLOGICAL: Recombinant Granulocyte Colony-Stimulating Factor|OTHER: Laboratory Biomarker Analysis|DRUG: Mitoxantrone Hydrochloride,Fred Hutchinson Cancer Center,Pfizer,INTERVENTIONAL,,Combination,Yes,,,No,66,,,Yes,66,Yes,,Yes,66,Same as dose-expansion,,,,,
NCT04045613,Derazantinib and Atezolizumab in Patients With Urothelial Cancer,https://clinicaltrials.gov/study/NCT04045613,COMPLETED,Urothelial Carcinoma,DRUG: Derazantinib 300 mg once daily monotherapy|DRUG: Derazantinib 200 mg once daily + atezolizumab 1200 mg|DRUG: Derazantinib 300 mg once daily+ atezolizumab 1200 mg|DRUG: Derazantinib 200 mg twice daily + atezolizumab 1200 mg|DRUG: Derazantinib 300 mg once daily monotherapy (QD)|DRUG: Derazantinib 300 mg once daily + atezolizumab 1200 mg|DRUG: Derazantinib 200 mg twice daily monotherapy,Basilea Pharmaceutica,,INTERVENTIONAL,,Combination,No,,,,,,,Yes,95,Yes,,Yes,95,Same as dose-expansion,,,,,
NCT03789175,Nicotinamide Riboside on Mitochondrial Function in Li-Fraumeni Syndrome,https://clinicaltrials.gov/study/NCT03789175,COMPLETED,Cancer|Skin Fibroblasts|Muscle Weakness,DIETARY_SUPPLEMENT: Nicotinamide Riboside (NR),"National Heart, Lung, and Blood Institute (NHLBI)",,INTERVENTIONAL,,Single ,No,,,,,,,No,,,,No,,,,,,,
NCT03847519,Study of ADXS-503 With or Without Pembro in Subjects With Metastatic Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT03847519,COMPLETED,"Lung Cancer, Non-Small Cell|Metastatic Squamous Cell Carcinoma|Metastatic Non-Squamous Cell Carcinoma",DRUG: ADXS-503|DRUG: Pembrolizumab,"Advaxis, Inc.",,INTERVENTIONAL,,Both,Yes,3+3,,No,24,2,,Yes,24,No,,Yes,24,Same as dose-expansion,,,,,
NCT03566199,MTX110 by Convection-Enhanced Delivery in Treating Participants With Newly-Diagnosed Diffuse Intrinsic Pontine Glioma,https://clinicaltrials.gov/study/NCT03566199,COMPLETED,Diffuse Intrinsic Pontine Glioma,DRUG: Panobinostat Nanoparticle Formulation MTX110|DRUG: Convection-Enhanced Delivery (CED),"Sabine Mueller, MD, PhD",Midatech Pharma US Inc.|Pacific Pediatric Neuro-Oncology Consortium,INTERVENTIONAL,,Single ,No,,,,,,,Yes,7,Yes,,Yes,7,Same as dose-expansion,,,,,
NCT03322384,"UCDCC#271: Phase I/II Trial of Epacadostat, Intralesional SD101, Radiotherapy in Patients With Lymphoma",https://clinicaltrials.gov/study/NCT03322384,COMPLETED,Advanced Solid Tumors|Lymphoma,DRUG: epacadostat|DRUG: SD-101|RADIATION: Radiotherapy,"University of California, Davis",,INTERVENTIONAL,,Combination,Yes,3+3,,No,20,3,,Yes,20,Yes,,Yes,20,Same as dose-expansion,,,,,
NCT03433781,A Phase Ib Study Evaluating the Safety and Tolerability of Vitamin C in Patients With Intermediate or High Risk Myelodysplastic Syndrome With TET2 Mutations,https://clinicaltrials.gov/study/NCT03433781,COMPLETED,Myelodysplastic Syndromes,DRUG: Vitamin C,NYU Langone Health,Perlmutter Cancer Center,INTERVENTIONAL,,Single ,Yes,3+3,,No,,3,,Yes,,,deferred to new clinical trial,Yes,,deferred to new clinical trial,,,,,
